game_id,date,home_team,away_team,home_odds,away_odds
CURR_BL_234,2027-03-20,SC Paderborn 07,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_235,2027-04-03,RB Leipzig,SC Freiburg,2.0,2.0
CURR_BL_236,2027-04-03,SV 07 Elversberg,1. FC Köln,2.0,2.0
CURR_BL_237,2027-04-03,FC Bayern München,Hamburger SV,2.0,2.0
CURR_BL_238,2027-04-03,FC Augsburg,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_239,2027-04-03,Borussia Mönchengladbach,SV Werder Bremen,2.0,2.0
CURR_BL_240,2027-04-03,Eintracht Frankfurt,VfB Stuttgart,2.0,2.0
CURR_BL_241,2027-04-03,1. FC Union Berlin,1. FSV Mainz 05,2.0,2.0
CURR_BL_242,2027-04-03,Bayer 04 Leverkusen,Borussia Dortmund,2.0,2.0
CURR_BL_243,2027-04-03,FC Schalke 04,SC Paderborn 07,2.0,2.0
CURR_BL_244,2027-04-10,VfB Stuttgart,SV 07 Elversberg,2.0,2.0
CURR_BL_245,2027-04-10,SC Paderborn 07,FC Bayern München,2.0,2.0
CURR_BL_246,2027-04-10,TSG 1899 Hoffenheim,SC Freiburg,2.0,2.0
CURR_BL_247,2027-04-10,1. FSV Mainz 05,RB Leipzig,2.0,2.0
CURR_BL_248,2027-04-10,SV Werder Bremen,Eintracht Frankfurt,2.0,2.0
CURR_BL_249,2027-04-10,Borussia Dortmund,FC Schalke 04,2.0,2.0
CURR_BL_250,2027-04-10,Hamburger SV,1. FC Union Berlin,2.0,2.0
CURR_BL_251,2027-04-10,Borussia Mönchengladbach,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_252,2027-04-10,1. FC Köln,FC Augsburg,2.0,2.0
CURR_BL_253,2027-04-17,Bayer 04 Leverkusen,SV Werder Bremen,2.0,2.0
CURR_BL_254,2027-04-17,Eintracht Frankfurt,Borussia Mönchengladbach,2.0,2.0
CURR_BL_255,2027-04-17,1. FC Union Berlin,VfB Stuttgart,2.0,2.0
CURR_BL_256,2027-04-17,FC Bayern München,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_257,2027-04-17,FC Schalke 04,Hamburger SV,2.0,2.0
CURR_BL_258,2027-04-17,SV 07 Elversberg,SC Paderborn 07,2.0,2.0
CURR_BL_259,2027-04-17,FC Augsburg,Borussia Dortmund,2.0,2.0
CURR_BL_260,2027-04-17,SC Freiburg,1. FSV Mainz 05,2.0,2.0
CURR_BL_261,2027-04-17,RB Leipzig,1. FC Köln,2.0,2.0
CURR_BL_262,2027-04-24,SV Werder Bremen,FC Bayern München,2.0,2.0
CURR_BL_263,2027-04-24,1. FC Köln,1. FSV Mainz 05,2.0,2.0
CURR_BL_264,2027-04-24,Hamburger SV,SV 07 Elversberg,2.0,2.0
CURR_BL_265,2027-04-24,Borussia Dortmund,RB Leipzig,2.0,2.0
CURR_BL_266,2027-04-24,TSG 1899 Hoffenheim,1. FC Union Berlin,2.0,2.0
CURR_BL_267,2027-04-24,SC Paderborn 07,FC Augsburg,2.0,2.0
CURR_BL_268,2027-04-24,VfB Stuttgart,SC Freiburg,2.0,2.0
CURR_BL_269,2027-04-24,Borussia Mönchengladbach,FC Schalke 04,2.0,2.0
CURR_BL_270,2027-04-24,Eintracht Frankfurt,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_271,2027-05-08,FC Schalke 04,Eintracht Frankfurt,2.0,2.0
CURR_BL_272,2027-05-08,RB Leipzig,SC Paderborn 07,2.0,2.0
CURR_BL_273,2027-05-08,SC Freiburg,1. FC Köln,2.0,2.0
CURR_BL_274,2027-05-08,1. FSV Mainz 05,Borussia Dortmund,2.0,2.0
CURR_BL_275,2027-05-08,FC Augsburg,VfB Stuttgart,2.0,2.0
CURR_BL_276,2027-05-08,1. FC Union Berlin,SV Werder Bremen,2.0,2.0
CURR_BL_277,2027-05-08,SV 07 Elversberg,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_278,2027-05-08,Bayer 04 Leverkusen,Hamburger SV,2.0,2.0
CURR_BL_279,2027-05-08,FC Bayern München,Borussia Mönchengladbach,2.0,2.0
CURR_BL_280,2027-05-15,Eintracht Frankfurt,SV 07 Elversberg,2.0,2.0
CURR_BL_281,2027-05-15,SC Paderborn 07,1. FC Union Berlin,2.0,2.0
CURR_BL_282,2027-05-15,VfB Stuttgart,RB Leipzig,2.0,2.0
CURR_BL_283,2027-05-15,Borussia Dortmund,1. FC Köln,2.0,2.0
CURR_BL_284,2027-05-15,Hamburger SV,SC Freiburg,2.0,2.0
CURR_BL_285,2027-05-15,Bayer 04 Leverkusen,FC Bayern München,2.0,2.0
CURR_BL_286,2027-05-15,SV Werder Bremen,FC Schalke 04,2.0,2.0
CURR_BL_287,2027-05-15,Borussia Mönchengladbach,FC Augsburg,2.0,2.0
CURR_BL_288,2027-05-15,TSG 1899 Hoffenheim,1. FSV Mainz 05,2.0,2.0
CURR_BL_289,2027-05-22,RB Leipzig,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_290,2027-05-22,1. FC Union Berlin,Borussia Mönchengladbach,2.0,2.0
CURR_BL_291,2027-05-22,1. FSV Mainz 05,VfB Stuttgart,2.0,2.0
CURR_BL_292,2027-05-22,FC Schalke 04,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_293,2027-05-22,SV 07 Elversberg,SV Werder Bremen,2.0,2.0
CURR_BL_294,2027-05-22,FC Bayern München,Eintracht Frankfurt,2.0,2.0
CURR_BL_295,2027-05-22,FC Augsburg,Hamburger SV,2.0,2.0
CURR_BL_296,2027-05-22,SC Freiburg,Borussia Dortmund,2.0,2.0
CURR_BL_297,2027-05-22,1. FC Köln,SC Paderborn 07,2.0,2.0
